ID,レース名,開催地,馬場,距離,距離適性,回り方向
0,フェブラリーステークス,東京,ダート,1600m,マイル,右
1,高松宮記念,中京,芝,1200m,短距離,左
2,大阪杯,阪神,芝,2000m,中距離,右
3,桜花賞,阪神,芝,1600m,マイル,右
4,皐月賞,中山,芝,2000m,マイル,右
5,天皇賞(春),京都,芝,3200m,長距離,右
6,NHKマイルカップ,東京,芝,1600m,マイル,左
7,ヴィクトリアマイル,東京,芝,1600m,マイル,左
8,オークス,東京,芝,2400m,中距離,左
9,日本ダービー,東京,芝,2400m,中距離,左
10,安田記念,東京,芝,1600m,マイル,左
11,宝塚記念,阪神,芝,2200m,中距離,右
12,スプリンターズステークス,中山,芝,1200m,短距離,右
13,秋華賞,京都,芝,2000m,中距離,右
14,菊花賞,京都,芝,3000m,長距離,右
15,天皇賞(秋),東京,芝,2000m,中距離,左
16,エリザベス女王杯,京都,芝,2200m,中距離,右
17,マイルチャンピオンシップ,京都,芝,1600m,マイル,右
18,ジャパンカップ,東京,芝,2400m,中距離,左
19,チャンピオンズカップ,中京,ダート,1800m,マイル,左
20,阪神ジュベナイルフィリーズ,阪神,芝,1600m,マイル,右
21,朝日杯フューチュリティステークス,阪神,芝,1600m,マイル,右
22,有馬記念,中山,芝,2500m,長距離,右
23,ホープフルステークス,中山,芝,2000m,中距離,右
24,帝王賞,大井,ダート,2000m,中距離,右
25,ジャパンダートダービー,大井,ダート,2000m,中距離,右
26,JBCレディスクラシック,大井,ダート,1800m,マイル,右
27,JBCスプリント,大井,ダート,1200m,短距離,右
28,JBCクラシック,大井,ダート,2000m,中距離,右
29,東京大賞典,大井,ダート,2000m,中距離,右
